jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
93,2026-07-06,R16,,Portugal,1x2,Espanha,43%,,,,,Vai aos pênaltis,Espanha,Espanha,PREVISTO,
94,2026-07-06,R16,,Paraguai,1x0,Bélgica,56%,,,,,Vai aos pênaltis,Paraguai,Paraguai,PREVISTO,
95,2026-07-07,R16,,Argentina,1x0,Austrália,87%,,,,,Argentina,Argentina,Argentina,PREVISTO,
96,2026-07-07,R16,,Canadá,0x2,Colômbia,18%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
97,2026-07-09,QF,,Japão,0x1,Equador,45%,,,,,Vai aos pênaltis,Equador,Equador,PREVISTO,
98,2026-07-10,QF,,Espanha,1x0,Paraguai,61%,,,,,Espanha,Espanha,Espanha,PREVISTO,
99,2026-07-11,QF,,Brasil,1x0,Inglaterra,70%,,,,,Brasil,Brasil,Brasil,PREVISTO,
100,2026-07-11,QF,,Argentina,1x0,Colômbia,67%,,,,,Argentina,Argentina,Argentina,PREVISTO,
101,2026-07-14,SF,,Equador,1x0,Espanha,51%,,,,,Vai aos pênaltis,Equador,Equador,PREVISTO,
102,2026-07-15,SF,,Brasil,0x1,Argentina,39%,,,,,Argentina,Argentina,Argentina,PREVISTO,
103,2026-07-18,3rd_place,,Espanha,0x1,Brasil,31%,,,,,Brasil,Brasil,Brasil,PREVISTO,
104,2026-07-19,final,,Equador,0x1,Argentina,26%,,,,,Argentina,Argentina,Argentina,PREVISTO,
